Time (s),"Main pump (l/min)",Pipe velocity (m/s),Bottom hole pressure (bar),Choke pressure (bar),Choke flow (l/min),Pump pressure (bar),Bit flow (l/min),Flow bottom annulus (l/min),Pressure bottom annulus (bar),Bit velocity (m/s),Rig heave (m)
0,3520,0,940.9052223,1,3520,331.4493957,3520,3520,940.0267382,0,0
0.1,3520,0,940.9052223,1,3520,331.4493957,3520,3520,940.0267382,0,0
0.2,3520,0,940.9052223,1,3520,331.4493957,3520,3520,940.0267382,0,0
0.3,3520,0,940.9052223,1,3520,331.4493957,3520,3520,940.0267382,0,0
0.4,3520,0,940.9052223,1,3520,331.4493957,3520,3520,940.0267382,0,0
0.5,3520,0,940.9052223,1,3520,331.4493957,3520,3520,940.0267382,0,0
0.6,3520,0,940.9052223,1,3520,331.4493957,3520,3520,940.0267382,0,0
0.7,3520,0,940.9052223,1,3520,331.4493957,3520,3520,940.0267382,0,0
0.8,3520,0,940.9052223,1,3520,331.4493957,3520,3520,940.0267382,0,0
0.9,3520,0,940.9052223,1,3520,331.4493957,3520,3520,940.0267382,0,0
1,3520,0,940.9052223,1,3520,331.4493957,3520,3520,940.0267382,0,0
1.1,3520,0,940.9052223,1,3520,331.4493957,3520,3520,940.0267382,0,0
1.2,3520,0,940.9052223,1,3520,331.4493957,3520,3520,940.0267382,0,0
1.3,3520,0,940.9052223,1,3520,331.4493957,3520,3520,940.0267382,0,0
1.4,3520,0,940.9052223,1,3520,331.4493957,3520,3520,940.0267382,0,0
1.5,3520,0,940.9052223,1,3520,331.4493957,3520,3520,940.0267382,0,0
1.6,3520,0,940.9052223,1,3520,331.4493957,3520,3520,940.0267382,0,0
1.7,3520,0,940.9052223,1,3520,331.4493957,3520,3520,940.0267382,0,0
1.8,3520,0,940.9052223,1,3520,331.4493957,3520,3520,940.0267382,0,0
1.9,3520,0,940.9052223,1,3520,331.4493957,3520.000001,3520.000001,940.0267382,0,0
2,3520,0,940.9052223,1,3520,331.4493957,3520,3520,940.0267382,0,0
2.1,3520,0,940.9052223,1,3520,331.4493957,3520,3520,940.0267382,0,0
2.2,3520,0,940.9052223,1,3520,331.4493957,3520,3520,940.0267382,0,0
2.3,3520,0,940.9052223,1,3520,331.4493957,3519.999999,3519.999999,940.0267382,0,0
2.4,3520,0,940.9052223,1,3520,331.4493957,3520,3520,940.0267382,0,0
2.5,3520,0,940.9052223,1,3520,331.4493957,3520,3520,940.0267382,0,0
2.6,3520,0,940.9052223,1,3520,331.4493957,3520,3520,940.0267382,0,0
2.7,3520,0,940.9052223,1,3520,331.4493957,3519.999999,3519.999999,940.0267382,0,0
2.8,3520,0,940.9052223,1,3520,331.4493957,3519.999999,3519.999999,940.0267382,0,0
