Seq;Md;Inc;Azi;Tvd
1;0;0;0;0
2;373.2;0;0;373.2
3;386.5;0.36;352.67;386.5
4;395.9;0.48;16.26;395.9
5;406.4;0.26;328.9;406.4
6;421.6;0.29;112.08;421.6
7;466.2;0.34;0.75;466.2
8;493.9;2.94;86.2;493.89
9;523.3;6.28;84.93;523.19
10;551.3;8.53;84.07;550.95
11;579.3;9.9;85.81;578.59
12;608.1;9.47;96.02;606.98
13;636.5;10.58;113.61;634.95
14;664.8;12.48;127.24;662.69
15;690.3;14.18;140.3;687.5
16;719.5;16.16;152.53;715.69
17;748.5;17.91;164.33;743.43
18;776.6;20.85;169.62;769.94
19;801.1;22.93;170.25;792.67
20;825.2;22.59;169.02;814.89
21;856.6;25.15;170.67;843.6
22;885;29.66;173.34;868.81
23;914;33.78;175.92;893.47
24;942.8;37.23;177.71;916.92
25;969.3;40.53;178.89;937.54
26;998.7;43.94;180.69;959.31
27;1027;46.93;181.78;979.17
28;1055.2;50.17;181.16;997.83
29;1084.1;53.08;180.92;1015.77
30;1111.1;54.95;184.33;1031.64
31;1138.9;55.04;189.85;1047.59
32;1167.3;55;193.4;1063.88
33;1196.4;55.02;194.93;1080.56
34;1223.8;55;198.14;1096.28
35;1252.5;55.02;202.75;1112.74
36;1281.8;55.04;207.08;1129.54
37;1310.4;55.02;212.09;1145.94
38;1338.3;55.02;216.49;1161.94
39;1366.9;55.03;222.05;1178.34
40;1394.8;55.04;226.31;1194.34
41;1424.2;55.05;230.25;1211.19
42;1452.3;55.07;235;1227.29
43;1479.1;55.04;238.78;1242.64
44;1508.5;55.01;242.67;1259.5
45;1537.8;55.07;246.48;1276.29
46;1565.2;55.04;249.91;1291.99
47;1593.1;55.03;254.81;1307.98
48;1620.4;55.04;258.25;1323.63
49;1630;56.11;256.04;1329.06
50;1640;56.69;256.16;1334.59
51;1650;57.32;256.58;1340.04
52;1660;57.76;257.75;1345.41
53;1670;58.6;258.74;1350.68
54;1680;58.77;259.8;1355.88
55;1690;58.95;260.87;1361.05
56;1700;59.14;262.39;1366.19
57;1710;59.2;263.93;1371.32
58;1720;59.25;265.24;1376.43
59;1730;59.35;266.64;1381.54
60;1740;59.59;268.13;1386.62
61;1750;59.69;269.7;1391.67
62;1760;59.8;271.27;1396.71
63;1770;60.06;272.57;1401.72
64;1780;60.3;273.83;1406.7
65;1790;60.68;275.03;1411.62
66;1800;61.15;276.29;1416.48
67;1810;61.53;277.73;1421.28
68;1820;61.91;278.98;1426.02
69;1830;62.31;280.51;1430.7
70;1840;62.66;281.81;1435.32
71;1850;63.17;283.1;1439.87
72;1860;63.5;284.44;1444.36
73;1870;63.83;286.04;1448.79
74;1880;64.45;287.53;1453.16
75;1890;65.13;288.7;1457.41
76;1900;65.61;290;1461.58
77;1910;66.12;291.44;1465.67
78;1920;66.34;292.79;1469.7
79;1930;66.69;294.21;1473.69
80;1940;66.88;295.53;1477.63
81;1950;66.84;296.86;1481.56
82;1960;67;297.89;1485.48
83;1970;67.58;299.06;1489.34
84;1980;68.15;300.17;1493.11
85;1990;68.6;301.37;1496.79
86;2000;69.08;302.66;1500.4
87;2010;69.66;303.58;1503.93
88;2020;69.79;304.46;1507.39
89;2030;70.02;305.36;1510.83
90;2040;70.56;306.31;1514.2
91;2050;71.24;307.12;1517.47
92;2060;71.91;307.86;1520.63
93;2070;72.2;308.76;1523.71
94;2080;72.32;309.81;1526.76
95;2090;72.61;311.08;1529.77
96;2100;73.33;312.43;1532.7
97;2110;74;313.63;1535.52
98;2120;74.6;314.84;1538.22
99;2130;74.76;315.85;1540.86
100;2140;74.72;316.81;1543.5
101;2150;74.95;317.75;1546.11
102;2160;75.3;318.69;1548.68
103;2170;76;319.8;1551.16
104;2180;76.65;320.82;1553.52
105;2190;77.14;321.89;1555.79
106;2200;77.54;322.92;1557.98
107;2210;78.13;323.79;1560.09
108;2220;78.43;324.83;1562.12
109;2230;79.03;325.69;1564.07
110;2240;79.8;326.8;1565.91
111;2250;80.18;327.81;1567.65
112;2260;80.68;328.47;1569.31
113;2270;81.47;329.09;1570.86
114;2303.1;82.38;331.38;1575.51
115;2330.2;84.84;333.38;1578.53
116;2357.7;87.21;334.25;1580.44
117;2385;87.2;334.8;1581.77
118;2411.8;87.22;334.67;1583.07
119;2439.2;88.71;334.67;1584.04
120;2466.5;89.75;335.49;1584.41
121;2493.8;89.75;336.15;1584.53
122;2521.4;90.95;337.52;1584.36
123;2549;91.99;339.4;1583.65
124;2552;91.9;339.6;1583.55
125;2555;91.56;339.81;1583.46
126;2558;91.29;340.01;1583.39
127;2561;91.13;340.22;1583.32
128;2565.3;91.04;340.51;1583.24
129;2569;90.6;340.63;1583.19
