Seq;Md;Inc;Azi
1;0.00;0.00;0.00
2;795.00;0.00;0.00
3;807.57;1.00;0.00
4;820.14;2.00;0.00
5;832.71;3.00;0.00
6;845.28;4.00;0.00
7;857.85;5.00;0.00
8;870.42;6.00;0.00
9;882.99;7.00;0.00
10;895.56;8.00;0.00
11;908.13;9.00;0.00
12;920.70;10.00;0.00
13;933.27;11.00;0.00
14;945.84;12.00;0.00
15;958.41;13.00;0.00
16;970.98;14.00;0.00
17;983.55;15.00;0.00
18;996.12;16.00;0.00
19;1008.69;17.00;0.00
20;1021.26;18.00;0.00
21;1033.83;19.00;0.00
22;1046.40;20.00;0.00
23;1058.97;21.00;0.00
24;1071.54;22.00;0.00
25;1084.11;23.00;0.00
26;1096.68;24.00;0.00
27;1109.25;25.00;0.00
28;1121.82;26.00;0.00
29;1134.39;27.00;0.00
30;1146.96;28.00;0.00
31;1159.53;29.00;0.00
32;1172.10;30.00;0.00
33;1184.67;31.00;0.00
34;1197.24;32.00;0.00
35;1209.81;33.00;0.00
36;1222.38;34.00;0.00
37;1234.95;35.00;0.00
38;1247.52;36.00;0.00
39;1260.09;37.00;0.00
40;1272.66;38.00;0.00
41;1285.23;39.00;0.00
42;1297.80;40.00;0.00
43;1310.37;41.00;0.00
44;1322.94;42.00;0.00
45;1335.51;43.00;0.00
46;1348.08;44.00;0.00
47;1360.65;45.00;0.00
48;1373.22;46.00;0.00
49;1385.79;47.00;0.00
50;1398.36;48.00;0.00
51;1410.93;49.00;0.00
52;1423.50;50.00;0.00
53;1436.07;51.00;0.00
54;1448.64;52.00;0.00
55;1461.21;53.00;0.00
56;1473.78;54.00;0.00
57;1486.35;55.00;0.00
58;1498.92;56.00;0.00
59;1511.49;57.00;0.00
60;1524.06;58.00;0.00
61;1536.63;59.00;0.00
62;1549.20;60.00;0.00
63;1561.77;61.00;0.00
64;1574.34;62.00;0.00
65;1586.91;63.00;0.00
66;1599.48;64.00;0.00
67;1612.05;65.00;0.00
68;1624.62;66.00;0.00
69;1637.19;67.00;0.00
70;1649.76;68.00;0.00
71;1662.33;69.00;0.00
72;1674.90;70.00;0.00
73;1687.47;71.00;0.00
74;1700.04;72.00;0.00
75;1712.61;73.00;0.00
76;1725.18;74.00;0.00
77;1737.75;75.00;0.00
78;1750.32;76.00;0.00
79;1762.89;77.00;0.00
80;1775.46;78.00;0.00
81;1788.03;79.00;0.00
82;1800.60;80.00;0.00
83;1813.17;81.00;0.00
84;1825.74;82.00;0.00
85;1838.31;83.00;0.00
86;1850.88;84.00;0.00
87;1863.45;85.00;0.00
88;1876.02;86.00;0.00
89;1888.59;87.00;0.00
90;1901.16;88.00;0.00
91;1913.73;89.00;0.00
92;1926.30;90.00;0.00
93;2500.00;90.00;0.00
94;2512.57;90.00;1.00
95;2525.13;90.00;2.00
96;2537.70;90.00;3.00
97;2550.26;90.00;4.00
98;2562.83;90.00;5.00
99;2575.40;90.00;6.00
100;2587.96;90.00;7.00
101;2600.53;90.00;8.00
102;2613.10;90.00;9.00
103;2625.66;90.00;10.00
104;2638.23;90.00;11.00
105;2650.79;90.00;12.00
106;2663.36;90.00;13.00
107;2675.93;90.00;14.00
108;2688.49;90.00;15.00
109;2701.06;90.00;16.00
110;2713.63;90.00;17.00
111;2726.19;90.00;18.00
112;2738.76;90.00;19.00
113;2751.32;90.00;20.00
114;2763.89;90.00;21.00
115;2776.46;90.00;22.00
116;2789.02;90.00;23.00
117;2801.59;90.00;24.00
118;2814.16;90.00;25.00
119;2826.72;90.00;26.00
120;2839.29;90.00;27.00
121;2851.85;90.00;28.00
122;2864.42;90.00;29.00
123;2876.99;90.00;30.00
124;5112.00;90.00;30.00
